t, theta (rad)
0, 0.988136
0.01, 0.987124
0.02, 0.984092
0.03, 0.979046
0.04, 0.971992
0.05, 0.962942
0.06, 0.951909
0.07, 0.938908
0.08, 0.923958
0.09, 0.907082
0.1, 0.888306
0.11, 0.867658
0.12, 0.845171
0.13, 0.820881
0.14, 0.794828
0.15, 0.767057
0.16, 0.737616
0.17, 0.706558
0.18, 0.673939
0.19, 0.639821
0.2, 0.60427
0.21, 0.567356
0.22, 0.529155
0.23, 0.489745
0.24, 0.44921
0.25, 0.407638
0.26, 0.365121
0.27, 0.321755
0.28, 0.277638
0.29, 0.232873
0.3, 0.187565
0.31, 0.141821
0.32, 0.0957508
0.33, 0.049465
0.34, 0.00307538
0.35, -0.0433059
0.36, -0.0895665
0.37, -0.135595
0.38, -0.181281
0.39, -0.226514
0.4, -0.271189
0.41, -0.315201
0.42, -0.358447
0.43, -0.40083
0.44, -0.442254
0.45, -0.482629
0.46, -0.521866
0.47, -0.559884
0.48, -0.596604
0.49, -0.631952
0.5, -0.665858
0.51, -0.698257
0.52, -0.72909
0.53, -0.7583
0.54, -0.785836
0.55, -0.811651
0.56, -0.835701
0.57, -0.857948
0.58, -0.878356
0.59, -0.896895
0.6, -0.913536
0.61, -0.928255
0.62, -0.941032
0.63, -0.951849
0.64, -0.960691
0.65, -0.967546
0.66, -0.972405
0.67, -0.975263
0.68, -0.976117
0.69, -0.974966
0.7, -0.971811
0.71, -0.966659
0.72, -0.959517
0.73, -0.950396
0.74, -0.939308
0.75, -0.92627
0.76, -0.911303
0.77, -0.894427
0.78, -0.875671
0.79, -0.855062
0.8, -0.832633
0.81, -0.808423
0.82, -0.78247
0.83, -0.75482
0.84, -0.725521
0.85, -0.694627
0.86, -0.662194
0.87, -0.628284
0.88, -0.592964
0.89, -0.556303
0.9, -0.518378
0.91, -0.479266
0.92, -0.439051
0.93, -0.397822
0.94, -0.35567
0.95, -0.312689
0.96, -0.268978
0.97, -0.22464
0.98, -0.179777
0.99, -0.134498
1, -0.088909
