t, theta (rad)
0, 0.277106
0.02, 0.275677
0.04, 0.271409
0.06, 0.264343
0.08, 0.254552
0.1, 0.242136
0.12, 0.227219
0.14, 0.209955
0.16, 0.190519
0.18, 0.16911
0.2, 0.145949
0.22, 0.121274
0.24, 0.0953412
0.26, 0.0684194
0.28, 0.0407889
0.3, 0.0127375
0.32, -0.015442
0.34, -0.0434556
0.36, -0.0710112
0.38, -0.0978219
0.4, -0.123609
0.42, -0.148105
0.44, -0.171058
0.46, -0.19223
0.48, -0.211406
0.5, -0.228389
0.52, -0.243006
0.54, -0.255111
0.56, -0.26458
0.58, -0.271318
0.6, -0.27526
0.62, -0.276364
0.64, -0.274621
0.66, -0.270049
0.68, -0.262693
0.7, -0.252629
0.72, -0.239959
0.74, -0.224811
0.76, -0.20734
0.78, -0.187723
0.8, -0.166163
0.82, -0.14288
0.84, -0.118116
0.86, -0.0921259
0.88, -0.0651807
0.9, -0.0375605
0.92, -0.00955308
0.94, 0.0185493
0.96, 0.0464533
0.98, 0.0738682
1, 0.100508
1.02, 0.126097
1.04, 0.150369
1.06, 0.173075
1.08, 0.193979
1.1, 0.212869
1.12, 0.229551
1.14, 0.243856
1.16, 0.255639
1.18, 0.264781
1.2, 0.271192
1.22, 0.274806
1.24, 0.275588
1.26, 0.27353
1.28, 0.268654
1.3, 0.261009
1.32, 0.250673
1.34, 0.23775
1.36, 0.222372
1.38, 0.204695
1.4, 0.1849
1.42, 0.16319
1.44, 0.139789
1.46, 0.114938
1.48, 0.0888943
1.5, 0.0619288
1.52, 0.0343222
1.54, 0.00636222
1.56, -0.0216594
1.58, -0.0494504
1.6, -0.0767209
1.62, -0.103187
1.64, -0.128574
1.66, -0.152619
1.68, -0.175074
1.7, -0.195707
1.72, -0.214308
1.74, -0.230687
1.76, -0.244677
1.78, -0.256137
1.8, -0.264951
1.82, -0.271032
1.84, -0.274318
1.86, -0.274777
1.88, -0.272404
1.9, -0.267225
1.92, -0.259291
1.94, -0.248683
1.96, -0.235508
1.98, -0.219901
2, -0.202021
2.02, -0.18205
2.04, -0.160193
2.06, -0.136676
2.08, -0.111741
2.1, -0.0856466
2.12, -0.0586642
2.14, -0.0310746
2.16, -0.00316558
2.18, 0.0247718
2.2, 0.052446
2.22, 0.0795686
2.24, 0.105857
2.26, 0.131039
2.28, 0.154853
2.3, 0.177054
2.32, 0.197414
2.34, 0.215723
2.36, 0.231796
2.38, 0.245469
2.4, 0.256604
2.42, 0.265089
2.44, 0.270839
2.46, 0.273796
2.48, 0.273931
2.5, 0.271244
2.52, 0.265761
2.54, 0.257538
2.56, 0.246659
2.58, 0.233234
2.6, 0.2174
2.62, 0.199318
2.64, 0.179173
2.66, 0.157172
2.68, 0.133541
2.7, 0.108525
2.72, 0.0823833
2.74, 0.0553874
2.76, 0.0278184
2.78, -3.62002e-005
2.8, -0.0278857
2.82, -0.0554396
2.84, -0.0824106
2.86, -0.108518
2.88, -0.133491
2.9, -0.157072
2.92, -0.179016
2.94, -0.199098
2.96, -0.217114
2.98, -0.232879
3, -0.246233
3.02, -0.257041
3.04, -0.265195
3.06, -0.270612
3.08, -0.273239
3.1, -0.27305
3.12, -0.270047
3.14, -0.264261
3.16, -0.255751
3.18, -0.244602
3.2, -0.230928
3.22, -0.214868
3.24, -0.196586
3.26, -0.176269
3.28, -0.154126
3.3, -0.130385
3.32, -0.105291
3.34, -0.079105
3.36, -0.0520989
3.38, -0.024554
3.4, 0.00324247
3.42, 0.0310004
3.44, 0.0584302
3.46, 0.0852462
3.48, 0.111169
3.5, 0.13593
3.52, 0.159273
3.54, 0.180958
3.56, 0.20076
3.58, 0.218479
3.6, 0.233933
3.62, 0.246966
3.64, 0.257445
3.66, 0.265266
3.68, 0.270351
3.7, 0.272647
3.72, 0.272134
3.74, 0.268815
3.76, 0.262726
3.78, 0.253928
3.8, 0.24251
3.82, 0.228589
3.84, 0.212305
3.86, 0.193825
3.88, 0.173339
3.9, 0.151056
3.92, 0.127208
3.94, 0.102039
3.96, 0.0758122
3.98, 0.0487993
4, 0.0212821
4.02, -0.00645258
4.04, -0.0341152
4.06, -0.0614173
4.08, -0.0880744
4.1, -0.113809
4.12, -0.138355
4.14, -0.161457
4.16, -0.182878
4.18, -0.202398
4.2, -0.219818
4.22, -0.234959
4.24, -0.247668
4.26, -0.257817
4.28, -0.265304
4.3, -0.270054
4.32, -0.272019
4.34, -0.271181
4.36, -0.267547
4.38, -0.261155
4.4, -0.252071
4.42, -0.240385
4.44, -0.226217
4.46, -0.209711
4.48, -0.191036
4.5, -0.170382
4.52, -0.147963
4.54, -0.12401
4.56, -0.0987699
4.58, -0.0725053
4.6, -0.0454892
4.62, -0.0180033
4.64, 0.00966584
4.66, 0.0372294
4.68, 0.0644001
4.7, 0.0908946
4.72, 0.116438
4.74, 0.140764
4.76, 0.163623
4.78, 0.184778
4.8, 0.204012
4.82, 0.221129
4.84, 0.235955
4.86, 0.248339
4.88, 0.258156
4.9, 0.265308
4.92, 0.269722
4.94, 0.271355
4.96, 0.270191
4.98, 0.266242
5, 0.259548
5.02, 0.250178
5.04, 0.238225
5.06, 0.223813
5.08, 0.207086
5.1, 0.188218
5.12, 0.1674
5.14, 0.144847
5.16, 0.120792
5.18, 0.0954836
5.2, 0.0691848
5.22, 0.0421692
5.24, 0.0147183
5.26, -0.0128816
5.28, -0.0403424
5.3, -0.0673777
5.32, -0.093706
5.34, -0.119054
5.36, -0.143158
5.38, -0.165769
5.4, -0.186655
5.42, -0.205601
5.44, -0.222413
5.46, -0.236922
5.48, -0.248978
5.5, -0.258461
5.52, -0.265276
5.54, -0.269354
5.56, -0.270654
5.58, -0.269165
5.6, -0.2649
5.62, -0.257905
5.64, -0.248249
5.66, -0.236031
5.68, -0.221376
5.7, -0.204431
5.72, -0.185371
5.74, -0.164391
5.76, -0.141708
5.78, -0.117554
5.8, -0.0921807
5.82, -0.0658513
5.84, -0.0388398
5.86, -0.0114276
5.88, 0.0160991
5.9, 0.0434532
5.92, 0.0703495
5.94, 0.0965078
5.96, 0.121656
5.98, 0.145534
6, 0.167895
6.02, 0.188509
6.04, 0.207164
6.06, 0.223669
6.08, 0.237857
6.1, 0.249584
6.12, 0.258732
6.14, 0.265209
6.16, 0.268949
6.18, 0.269916
6.2, 0.268101
6.22, 0.263522
6.24, 0.256225
6.26, 0.246285
6.28, 0.233803
6.3, 0.218906
6.32, 0.201745
6.34, 0.182497
6.36, 0.161357
6.38, 0.138546
6.4, 0.114297
6.42, 0.0888618
6.44, 0.0625053
6.46, 0.0355016
6.48, 0.00813205
6.5, -0.0193177
6.52, -0.0465613
6.54, -0.0733147
6.56, -0.0992993
6.58, -0.124245
6.6, -0.147894
6.62, -0.170001
6.64, -0.190339
6.66, -0.208699
6.68, -0.224895
6.7, -0.238761
6.72, -0.250157
6.74, -0.258968
6.76, -0.265105
6.78, -0.268507
6.8, -0.269141
6.82, -0.266999
6.84, -0.262105
6.86, -0.254508
6.88, -0.244286
6.9, -0.231541
6.92, -0.216404
6.94, -0.199029
6.96, -0.179594
6.98, -0.158298
7, -0.135361
7.02, -0.11102
7.04, -0.0855274
7.06, -0.0591475
7.08, -0.0321553
7.1, -0.00483219
7.12, 0.0225367
7.14, 0.0496659
7.16, 0.0762725
7.18, 0.10208
7.2, 0.126819
7.22, 0.150235
7.24, 0.172085
7.26, 0.192144
7.28, 0.210208
7.3, 0.226091
7.32, 0.239633
7.34, 0.250696
7.36, 0.259168
7.38, 0.264965
7.4, 0.268028
7.42, 0.268327
7.44, 0.26586
7.46, 0.260651
7.48, 0.252755
7.5, 0.24225
7.52, 0.229244
7.54, 0.213869
7.56, 0.196282
7.58, 0.176663
7.6, 0.155214
7.62, 0.132155
7.64, 0.107725
7.66, 0.0821779
7.68, 0.0557783
7.7, 0.0288015
7.72, 0.00152874
7.74, -0.0257553
7.76, -0.0527661
7.78, -0.0792221
7.8, -0.104848
7.82, -0.129377
7.84, -0.152556
7.86, -0.174146
7.88, -0.193924
7.9, -0.211688
7.92, -0.227257
7.94, -0.240472
7.96, -0.2512
7.98, -0.259332
8, -0.264787
8.02, -0.26751
8.04, -0.267475
8.06, -0.264682
8.08, -0.25916
8.1, -0.250964
8.12, -0.240179
8.14, -0.226913
8.16, -0.211302
8.18, -0.193505
8.2, -0.173705
8.22, -0.152105
8.24, -0.128927
8.26, -0.104412
8.28, -0.0788139
8.3, -0.0523984
8.32, -0.0254408
8.34, 0.00177762
8.36, 0.0289729
8.38, 0.0558613
8.4, 0.0821627
8.42, 0.107603
8.44, 0.131919
8.46, 0.154858
8.48, 0.176184
8.5, 0.195678
8.52, 0.213139
8.54, 0.228391
8.56, 0.241277
8.58, 0.251668
8.6, 0.259459
8.62, 0.264571
8.64, 0.266954
8.66, 0.266584
8.68, 0.263465
8.7, 0.257629
8.72, 0.249136
8.74, 0.238071
8.76, 0.224547
8.78, 0.208703
8.8, 0.190698
8.82, 0.17072
8.84, 0.148972
8.86, 0.125679
8.88, 0.101082
8.9, 0.075436
8.92, 0.0490083
8.94, 0.0220739
8.96, -0.00508618
8.98, -0.0321886
9, -0.0589507
9.02, -0.0850936
9.04, -0.110345
9.06, -0.134444
9.08, -0.157139
9.1, -0.178199
9.12, -0.197405
9.14, -0.214561
9.16, -0.229493
9.18, -0.242048
9.2, -0.252101
9.22, -0.259549
9.24, -0.264317
9.26, -0.266359
9.28, -0.265654
9.3, -0.26221
9.32, -0.256061
9.34, -0.24727
9.36, -0.235927
9.38, -0.222147
9.4, -0.206071
9.42, -0.187862
9.44, -0.167707
9.46, -0.145814
9.48, -0.122409
9.5, -0.0977338
9.52, -0.0720446
9.54, -0.0456087
9.56, -0.0187015
9.58, 0.00839624
9.6, 0.0354018
9.62, 0.0620335
9.64, 0.0880139
9.66, 0.113073
9.68, 0.13695
9.7, 0.159399
9.72, 0.180188
9.74, 0.199103
9.76, 0.215952
9.78, 0.230562
9.8, 0.242785
9.82, 0.252497
9.84, 0.259601
9.86, 0.264025
9.88, 0.265725
9.9, 0.264685
9.92, 0.260915
9.94, 0.254454
9.96, 0.245367
9.98, 0.233748
10, 0.219713
10.02, 0.203407
10.04, 0.184995
10.06, 0.164668
10.08, 0.142633
10.1, 0.119119
10.12, 0.0943694
10.14, 0.0686404
10.16, 0.0422002
10.18, 0.0153242
10.2, -0.0117071
10.22, -0.0386117
10.24, -0.065109
10.26, -0.0909229
10.28, -0.115785
10.3, -0.139438
10.32, -0.161636
10.34, -0.182152
10.36, -0.200774
10.38, -0.217312
10.4, -0.231597
10.42, -0.243485
10.44, -0.252856
10.46, -0.259614
10.48, -0.263693
10.5, -0.265051
10.52, -0.263675
10.54, -0.25958
10.56, -0.252808
10.58, -0.243426
10.6, -0.231532
10.62, -0.217245
10.64, -0.200711
10.66, -0.1821
10.68, -0.161602
10.7, -0.139429
10.72, -0.11581
10.74, -0.0909888
10.76, -0.0652239
10.78, -0.0387834
10.8, -0.0119428
10.82, 0.015018
10.84, 0.0418174
10.86, 0.0681762
10.88, 0.0938197
10.9, 0.118481
10.92, 0.141906
10.94, 0.16385
10.96, 0.184089
10.98, 0.202415
11, 0.21864
11.02, 0.232598
11.04, 0.24415
11.06, 0.253176
11.08, 0.259588
11.1, 0.26332
