t, theta (rad)
0, 0.988136
0.01, 0.987124
0.02, 0.984091
0.03, 0.979043
0.04, 0.971987
0.05, 0.962931
0.06, 0.951889
0.07, 0.938877
0.08, 0.923912
0.09, 0.907017
0.1, 0.888216
0.11, 0.867539
0.12, 0.845017
0.13, 0.820687
0.14, 0.794587
0.15, 0.766762
0.16, 0.73726
0.17, 0.706133
0.18, 0.673437
0.19, 0.639235
0.2, 0.603591
0.21, 0.566576
0.22, 0.528265
0.23, 0.488737
0.24, 0.448075
0.25, 0.406368
0.26, 0.363707
0.27, 0.320189
0.28, 0.275911
0.29, 0.230978
0.3, 0.185494
0.31, 0.139567
0.32, 0.0933072
0.33, 0.0468249
0.34, 0.000232598
0.35, -0.0463569
0.36, -0.0928308
0.37, -0.139077
0.38, -0.184984
0.39, -0.230443
0.4, -0.275346
0.41, -0.319588
0.42, -0.363066
0.43, -0.405682
0.44, -0.447339
0.45, -0.487947
0.46, -0.527417
0.47, -0.565666
0.48, -0.602615
0.49, -0.63819
0.5, -0.67232
0.51, -0.704941
0.52, -0.735991
0.53, -0.765414
0.54, -0.793157
0.55, -0.819174
0.56, -0.843421
0.57, -0.865858
0.58, -0.88645
0.59, -0.905165
0.6, -0.921975
0.61, -0.936855
0.62, -0.949784
0.63, -0.960743
0.64, -0.969717
0.65, -0.976695
0.66, -0.981666
0.67, -0.984624
0.68, -0.985566
0.69, -0.984489
0.7, -0.981397
0.71, -0.976292
0.72, -0.969183
0.73, -0.960078
0.74, -0.948991
0.75, -0.935938
0.76, -0.920937
0.77, -0.904009
0.78, -0.885181
0.79, -0.86448
0.8, -0.84194
0.81, -0.817596
0.82, -0.791488
0.83, -0.76366
0.84, -0.73416
0.85, -0.70304
0.86, -0.670359
0.87, -0.636176
0.88, -0.600557
0.89, -0.563574
0.9, -0.5253
0.91, -0.485815
0.92, -0.445204
0.93, -0.403553
0.94, -0.360955
0.95, -0.317505
0.96, -0.273302
0.97, -0.22845
0.98, -0.183053
0.99, -0.137219
1, -0.0910572
